Temperature (F),Humidity (%),Wind Speed (mph),Cloudiness (%),Country,City Name,Lat,Lon
25.82,43,2.92,0,TD,Am Timan,11.04,20.28
12.67,71,0.77,20,FR,Le Port,42.87,1.37
21.32,81,1.92,0,PH,Luba,17.32,120.7
0.42,73,3.27,88,RU,Sarana,56.48,57.73
11.46,76,3.0,0,RU,Malino,55.11,38.18
28.27,100,3.22,24,IN,Kavaratti,10.57,72.64
31.37,56,0.47,64,NE,Mayahi,13.95,7.67
28.52,99,2.77,76,MV,Mahibadhoo,3.78,72.97
24.0,78,5.1,40,PT,Lagoa,37.14,-8.45
27.62,100,2.92,12,LR,Robertsport,6.75,-11.37
29.87,74,5.02,48,BR,Jardim,-21.48,-56.15
25.0,94,6.37,75,BN,Victoria,5.28,115.24
26.47,64,3.22,68,IN,Naliya,23.26,68.83
36.0,44,3.1,0,SN,Gat,14.69,-16.54
23.12,83,9.3,75,PT,Camacha,33.08,-16.33
24.12,67,4.22,0,MZ,Namikupa,-10.84,39.63
18.0,82,4.6,20,ES,Muros,42.77,-9.06
20.75,40,3.1,0,DE,Kummersbruck,49.42,11.89
21.12,78,1.27,0,PK,Pakpattan,30.34,73.39
29.0,74,2.6,75,CM,Edea,3.8,10.13
31.0,70,4.1,40,BB,Bathsheba,13.22,-59.52
25.02,93,1.17,88,BR,Alta Floresta,-9.87,-56.08
36.07,37,1.87,32,GF,Camopi,3.17,-52.33
10.65,93,4.6,75,NO,Molde,62.74,7.16
13.0,100,0.5,92,SZ,Big Bend,-26.79,31.94
20.0,60,7.7,40,UY,Durazno,-33.38,-56.52
6.97,94,4.27,92,NO,Mehamn,71.03,27.85
10.31,100,3.47,92,NO,Rorvik,64.86,11.24
11.0,100,3.1,90,GB,Kemnay,57.23,-2.45
21.77,96,1.17,76,CD,Lodja,-3.52,23.6
30.87,63,4.97,8,BR,Carutapera,-1.2,-46.02
23.62,36,3.42,0,IN,Barmer,25.74,71.4
10.92,93,12.42,92,NO,Stokmarknes,68.56,14.91
25.97,94,4.92,0,SA,Umm Lajj,25.02,37.27
33.32,15,4.47,0,ML,Taoudenni,22.68,-3.98
24.32,100,2.27,92,CI,Tabou,4.42,-7.36
21.0,49,4.67,20,PT,Praia da Vitoria,38.73,-27.07
6.47,100,5.47,92,RU,Onega,63.91,38.09
0.81,100,10.77,92,CA,Husavik,50.56,-96.99
34.57,48,1.27,0,BR,Jacareacanga,-6.22,-57.76
11.0,87,3.6,75,NO,Kristiansund,63.12,7.73
29.92,15,2.82,8,ML,Tessalit,20.2,1.01
29.0,74,6.2,40,CI,Jackville,5.21,-4.42
-2.14,89,3.17,48,RU,Muravlenko,63.79,74.5
5.31,74,1.02,0,PK,Quetta,30.19,67.02
9.17,91,3.92,0,RU,Pavelets,53.79,39.25
6.87,97,3.22,92,RU,Alakurtti,66.96,30.34
-2.79,100,0.77,56,GL,Upernavik,72.79,-56.15
17.81,99,1.22,92,CM,Kumbo,6.21,10.69
19.12,91,7.17,56,BR,Cidreira,-30.17,-50.22
13.0,62,5.7,0,RO,Giurgeni,44.74,27.86
14.43,77,2.6,0,LV,Liepaja,56.52,21.02
17.57,63,2.6,76,BG,Dimovo,41.54,24.62
18.92,90,1.52,32,AO,Luena,-11.78,19.91
29.77,100,2.57,8,BR,Cassilandia,-19.11,-51.73
11.22,83,3.37,0,PL,Monki,53.41,22.8
26.47,75,2.37,44,NG,Ejigbo,7.9,4.32
15.02,100,4.87,0,NA,Walvis Bay,-22.95,14.51
21.62,62,4.57,0,EG,Tanta,30.78,31.0
0.0,66,4.0,20,RU,Tubinskiy,52.89,58.22
20.0,45,2.6,20,PT,Ponta Delgada,37.73,-25.67
30.0,70,6.7,20,DO,Mao,19.55,-71.08
16.54,64,2.1,0,IT,Arona,45.76,8.56
19.0,72,3.1,0,SE,Dalvik,57.79,14.13
27.17,20,3.67,0,AO,Ondjiva,-17.07,15.73
14.0,100,4.1,92,GB,Sandwick,54.57,-2.89
30.0,62,8.7,75,BR,Natal,-5.81,-35.21
10.1,100,3.6,32,SE,Ornskoldsvik,63.29,18.72
19.31,88,1.47,20,UG,Kitgum,3.3,32.88
18.51,67,3.1,0,DE,Gilching,48.11,11.29
21.54,47,5.1,0,FR,Meyzieu,45.78,5.0
21.22,79,1.07,0,MZ,Cuamba,-14.8,36.54
20.0,72,4.1,75,BR,Santa Maria,-29.69,-53.81
14.37,52,0.42,0,PK,Bela,26.23,66.31
23.0,57,2.1,0,FR,Durban,43.54,0.58
13.0,82,1.0,75,IR,Takestan,36.07,49.69
17.72,67,2.6,0,DE,Warmbad,50.67,13.08
22.23,49,4.6,1,US,Totness,33.74,-80.8
27.0,65,1.5,20,ES,Santa Cruz de la Palma,28.68,-17.76
31.0,58,9.3,20,CV,Vila do Maio,15.13,-23.22
35.12,29,2.82,0,BR,Cabrobo,-8.51,-39.31
16.0,77,9.3,20,ZA,Knysna,-34.04,23.05
11.5,76,3.0,0,RU,Elektrougli,55.72,38.22
29.0,62,6.2,75,BR,Cabedelo,-6.97,-34.84
18.0,59,2.6,0,PL,Chelmza,53.18,18.6
10.57,93,0.5,75,NO,Roald,62.58,6.12
26.52,97,6.12,92,SO,Mogadishu,2.04,45.34
16.0,82,6.7,90,BR,Pelotas,-31.77,-52.34
20.02,63,3.77,8,SY,Abu Samrah,35.3,37.18
28.0,20,2.6,0,SA,Najran,17.54,44.22
24.0,94,2.1,75,IN,Manjeshwar,12.72,74.89
8.47,68,3.52,0,RU,Urazovo,50.09,38.04
33.62,33,3.42,0,BR,Aracuai,-16.85,-42.07
20.0,49,2.6,0,HR,Trogir,43.52,16.25
2.67,75,4.22,88,RU,Ust-Tsilma,65.44,52.15
23.39,60,0.77,20,CY,Dromolaxia,34.88,33.59
16.0,82,11.3,40,NO,Gravdal,59.79,5.78
28.92,46,3.67,12,IN,Diu,20.71,70.98
29.0,54,6.2,75,BR,Maceio,-9.67,-35.74
22.51,30,5.1,0,SA,Faya,18.39,42.45
11.48,93,2.6,20,FI,Tornio,61.12,27.27
32.49,55,6.2,0,BR,Arraial do Cabo,-22.97,-42.02
26.0,78,4.6,20,MZ,Pemba,-12.97,40.52
9.42,85,3.42,0,RU,Znamenka,52.41,41.44
18.37,46,3.87,0,ZA,Calvinia,-31.47,19.78
13.0,62,5.7,0,RO,Costinesti,43.95,28.63
29.72,90,2.32,48,SO,Bosaso,11.28,49.18
16.0,67,5.7,40,TR,Malko Tarnovo,41.98,27.52
21.0,60,5.1,40,DZ,Constantine,36.36,6.61
20.82,69,1.22,12,PK,Hafizabad,32.07,73.69
35.0,23,2.1,20,MA,Marrakesh,31.63,-7.99
33.52,66,3.1,20,SN,Oussouye,12.49,-16.54
23.07,51,3.47,0,EG,Suez,29.97,32.54
7.0,65,5.1,75,IS,Akureyri,65.68,-18.09
17.0,63,3.1,0,PL,Sochaczew,52.23,20.24
27.0,36,5.1,0,BW,Tonota,-21.44,27.46
21.97,66,1.22,44,SO,Qandala,11.47,49.87
13.87,69,3.67,0,PL,Ciechanow,52.88,20.62
25.82,75,7.7,90,US,Harper,30.3,-99.24
5.22,65,3.12,68,CA,Saint-Georges,46.12,-70.67
14.92,43,3.27,24,BG,Bregovo,44.15,22.64
10.47,62,3.67,0,UA,Druzhba,49.36,25.65
18.0,59,11.8,0,ZA,Bredasdorp,-34.53,20.04
31.02,38,2.57,56,NG,Bure,10.52,10.33
28.0,65,3.1,20,NG,Keffi,8.85,7.88
16.52,64,1.32,44,ET,Boditi,6.95,37.86
23.02,46,3.22,68,LY,Bani Walid,31.76,14.0
19.35,77,7.2,40,GR,Tinos,37.54,25.16
4.52,99,5.32,0,RU,Bazarnyye Mataki,54.9,49.93
18.97,100,0.97,0,IT,Agropoli,40.35,15.0
30.0,58,2.1,0,IR,Bandar-e Lengeh,26.56,54.88
20.0,49,4.1,20,PT,Ribeira Grande,38.52,-28.7
29.99,55,3.6,20,BO,Puerto Quijarro,-19.0,-57.72
5.02,99,3.97,92,RU,Olenegorsk,68.14,33.28
26.12,98,6.17,32,TZ,Micheweni,-4.97,39.83
19.96,68,7.7,20,NL,Den Helder,52.96,4.76
-0.99,88,3.77,48,KZ,Borovskoy,53.8,64.15
17.72,99,1.72,92,BR,Curitibanos,-27.29,-50.58
25.0,69,10.8,0,MR,Nouadhibou,20.93,-17.03
4.43,12,3.6,90,US,Saint Anthony,43.97,-111.68
11.59,100,3.1,90,GB,Johnshaven,56.79,-2.34
35.0,28,6.7,20,MZ,Tete,-16.16,33.59
27.97,34,2.87,64,IN,Muli,22.62,71.45
19.22,83,1.17,76,KE,Maua,0.23,37.94
28.0,48,4.1,0,BW,Tamasane,-22.42,27.4
15.0,72,4.6,0,SE,Visby,57.64,18.3
6.91,82,2.1,90,US,Syracuse,43.05,-76.15
10.0,100,5.1,75,IE,Skibbereen,51.55,-9.27
36.47,38,2.42,0,BR,Maues,-3.38,-57.72
31.0,55,9.8,20,BR,Beberibe,-4.18,-38.13
25.47,100,7.62,0,BR,Caravelas,-17.73,-39.27
6.47,99,3.97,92,RU,Oktyabrskoye,56.73,85.44
29.62,56,0.27,68,NE,Seydi,13.34,7.75
4.81,83,1.67,0,AF,Herat,34.35,62.22
33.0,43,3.1,0,BR,Sao Joao da Barra,-21.64,-41.05
2.72,100,2.17,92,RU,Lovozero,68.01,35.02
27.66,69,4.1,0,ES,Puerto del Rosario,28.5,-13.86
27.12,93,1.62,8,YE,Aden,12.79,45.03
35.0,50,3.1,20,GN,Kerouane,12.23,-12.34
15.27,85,4.62,92,SE,Mora,61.01,14.54
7.22,97,6.17,88,NO,Berlevag,70.86,29.09
1.81,86,3.02,56,RU,Sovetskiy,56.76,48.47
20.0,45,2.6,20,PT,Vila Franca do Campo,37.72,-25.43
12.9,93,1.5,92,ZA,Benoni,-26.19,28.31
32.0,59,1.37,20,TD,Kibala,9.11,18.35
23.87,84,2.72,32,GA,Lekoni,-1.58,14.26
33.37,50,6.82,0,BR,Itarema,-2.92,-39.92
9.12,88,0.97,8,IR,Bahar,34.91,48.44
20.0,52,3.1,0,PK,Islamabad,33.69,73.06
24.82,40,1.37,0,ZM,Kalabo,-15.0,22.67
0.0,99,1.0,75,RU,Barsovo,61.17,73.17
26.52,90,1.52,12,IN,Honavar,14.28,74.45
20.0,45,1.87,0,SY,Manbij,36.53,37.96
16.31,84,2.87,0,ZA,Vredendal,-31.68,18.49
31.0,52,3.1,0,AE,Abu Dhabi,24.47,54.37
1.87,66,4.47,88,RU,Agirish,61.92,63.02
0.22,88,3.27,88,KZ,Mamlyutka,54.94,68.54
33.02,29,0.97,8,ML,Gao,16.28,-0.04
12.56,80,3.87,0,PL,Szczytno,53.57,20.99
10.52,58,3.62,92,KZ,Beyneu,45.32,55.19
33.77,48,4.32,24,BR,Frutal,-20.02,-48.93
32.57,23,1.42,100,NE,Tanout,14.97,8.88
20.22,58,3.22,0,SY,Abu Kamal,34.45,40.92
12.0,87,8.2,40,ZA,Temba,-25.38,28.26
26.67,80,2.82,80,LR,Gbarnga,7.0,-9.47
1.62,72,4.87,80,RU,Zelenoborsk,61.47,64.05
25.0,33,4.1,0,ZA,Cape Town,-33.93,18.42
21.67,56,1.27,80,LY,Masallatah,32.62,14.0
30.0,62,8.7,75,BR,Nisia Floresta,-6.09,-35.21
1.0,80,0.5,40,GL,Tasiilaq,65.61,-37.64
36.72,40,2.27,0,BR,Chapadinha,-3.74,-43.35
32.87,66,3.27,32,BR,Pocone,-16.26,-56.62
